Blue (Band 2),Green (Band 3),Red (Band 4),NIR (Band 5),SWIR (Band 6),SWIR (Band 7),class_id
10614,12310,14257,17656,20854,19267,5
10657,12385,14313,17702,20840,19328,5
10996,12834,14944,18171,21191,19886,5
11065,13069,15247,18499,21404,19886,5
10861,12808,14944,18575,21236,19458,5
10616,12290,14314,18572,21072,17641,5
10647,12331,14404,18810,21290,17588,5
10699,12471,14600,18772,21490,18257,5
10794,12606,14743,18418,21236,19442,5
10872,12816,14934,18320,21317,20233,5
10801,12674,14762,18193,21111,19789,5
10910,12849,14997,18429,21349,19988,5
11162,13270,15539,18966,21492,20063,5
11044,13198,15280,18970,20946,19180,5
10882,12874,14884,18921,20502,18411,5
10996,13050,15234,19061,20990,18981,5
11066,13161,15373,19179,21534,19279,5
10994,13156,15394,19221,21544,19418,5
10724,12732,14899,18663,21161,19382,5
10582,12428,14485,18116,20847,19248,5
10490,12194,14072,17912,20191,18550,5
10559,12303,14324,17987,20745,19168,5
10664,12485,14462,18221,20848,19059,5
10782,12730,14661,18520,20593,18934,5
10946,12967,15018,18798,20834,18925,5
11063,13187,15218,19129,20676,18910,5
11010,13170,15169,19059,20642,18910,5
11149,13202,15207,19344,21398,18732,5
10987,12965,14911,19025,21076,18601,5
10610,12454,14267,18207,20056,18772,5
10458,12236,14068,18003,20069,18379,5
10368,12059,13922,17790,20171,18389,5
10487,12184,14130,17676,20710,19316,5
10426,12134,14055,17607,20237,18678,5
10550,12351,14267,18089,20387,18281,5
10472,12311,14264,18035,19998,17939,5
10505,12296,14383,18040,20027,18211,5
10548,12275,14148,17681,20212,18554,5
10748,12728,14796,18240,21104,19895,5
10651,12537,14601,18055,20758,19540,5
10590,12486,14496,18021,20680,19459,5
10626,12499,14535,18001,20783,19503,5
10572,12418,14359,17967,20472,19127,5
10567,12405,14318,18389,20304,18686,5
10486,12220,14041,17948,20008,18425,5
10415,12106,14018,17962,20010,18206,5
10361,12050,13952,17713,20185,18471,5
10479,12164,14197,17636,20669,19320,5
10505,12207,14161,17804,20691,19137,5
10893,12817,14909,18395,20808,18948,5
10815,12635,14715,18106,20977,19302,5
10644,12486,14522,17985,20764,19294,5
10721,12538,14526,18015,21032,19440,5
10721,12512,14503,18105,20873,19111,5
10569,12286,14192,17779,20740,18805,5
10556,12223,14127,17630,20733,19049,5
10657,12406,14390,17920,20713,19059,5
10652,12461,14440,17876,20686,19079,5
10759,12594,14656,18007,20855,19358,5
11011,12852,14956,18248,21180,19617,5
10796,12582,14616,18036,20915,19141,5
10723,12533,14576,18164,20902,19058,5
10809,12623,14748,18669,21376,18977,5
10642,12444,14506,18351,21034,18408,5
10790,12658,14788,18646,21496,19153,5
10837,12789,14911,18839,21577,19386,5
10832,12795,15000,18917,21343,18832,5
10702,12627,14749,18768,20859,18736,5
10940,12874,15085,19120,21807,19638,5
10821,12738,14878,18796,20952,18610,5
10985,12977,15039,18899,21070,19252,5
10993,13000,15122,18881,21200,19109,5
11078,13132,15327,19103,21417,19220,5
11387,13636,15954,19535,22046,20120,5
11067,13273,15548,19304,21654,19883,5
10614,12455,14507,18158,21109,19612,5
10589,12358,14399,18042,21086,19550,5
10535,12265,14194,17975,20580,19062,5
10554,12280,14173,17858,20591,18895,5
10491,12330,14200,18113,19936,18237,5
10728,12652,14637,18554,20228,18349,5
10884,12883,14887,18837,20683,18657,5
11106,13314,15350,19214,20929,19082,5
11093,13344,15357,19180,20685,19008,5
10976,12946,14934,19023,20943,18509,5
10973,12956,14957,18927,21003,18456,5
10553,12366,14248,17980,20223,18790,5
10474,12218,14070,17915,20334,18671,5
10362,11936,13719,17640,20504,18733,5
10498,12139,14024,17619,20723,19205,5
